,Rk,Year,Tm,Lg,G,W,L,Ties,W.L.,pythW.L.,Finish,GB,Playoffs,R,RA, Attendance ,BatAge,PAge,X.Bat,X.P,Top.Player,War,Managers,current
1,1,2016,Arizona Diamondbacks,NL West,162,69,93,0,0.426,0.424,4th of 5,22,,752,890,2036216,26.7,26.4,50,29,J.Segura ,5.7,C.Hale (69-93),Arizona Diamondbacks
2,2,2015,Arizona Diamondbacks,NL West,162,79,83,0,0.488,0.504,3rd of 5,13,,720,713,2080145,26.6,27.1,50,27,P.Goldschmidt ,8.8,C.Hale (79-83),Arizona Diamondbacks
3,3,2014,Arizona Diamondbacks,NL West,162,64,98,0,0.395,0.415,5th of 5,30,,615,742,2073730,27.6,28,52,25,P.Goldschmidt ,4.5,K.Gibson (63-96) and A.Trammell (1-2),Arizona Diamondbacks
4,4,2013,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.493,2nd of 5,11,,685,695,2134895,28.1,27.6,44,23,P.Goldschmidt ,7.1,K.Gibson (81-81),Arizona Diamondbacks
5,5,2012,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.53,3rd of 5,13,,734,688,2177617,28.3,27.4,48,23,A.Hill ,5,K.Gibson (81-81),Arizona Diamondbacks
6,6,2011,Arizona Diamondbacks,NL West,162,94,68,0,0.58,0.545,1st of 5,--,Lost LDS (3-2),731,662,2105432,28.2,27.4,51,25,J.Upton ,6.1,K.Gibson (94-68),Arizona Diamondbacks
7,7,2010,Arizona Diamondbacks,NL West,162,65,97,0,0.401,0.428,5th of 5,27,,713,836,2056697,26.8,27.9,48,28,C.Young ,5.4,A.Hinch (31-48) and K.Gibson (34-49),Arizona Diamondbacks
8,8,2009,Arizona Diamondbacks,NL West,162,70,92,0,0.432,0.462,5th of 5,25,,720,782,2128765,26.5,27.7,45,24,D.Haren ,7.1,B.Melvin (12-17) and A.Hinch (58-75),Arizona Diamondbacks
9,9,2008,Arizona Diamondbacks,NL West,162,82,80,0,0.506,0.509,2nd of 5,2,,720,706,2509924,26.7,29.4,41,20,D.Haren ,6.6,B.Melvin (82-80),Arizona Diamondbacks
10,10,2007,Arizona Diamondbacks,NL West,162,90,72,0,0.556,0.487,1st of 5,--,Lost NLCS (4-0),712,732,2325249,26.6,28.2,47,26,B.Webb ,5.9,B.Melvin (90-72),Arizona Diamondbacks
11,11,2006,Arizona Diamondbacks,NL West,162,76,86,0,0.469,0.491,4th of 5,12,,773,788,2091685,29.6,28.8,45,25,B.Webb ,7,B.Melvin (76-86),Arizona Diamondbacks
20,1,2016,Atlanta Braves,NL East,161,68,93,0,0.422,0.417,5th of 5,26.5,,649,779,2020914,28.9,26.4,60,35,F.Freeman ,6.5,F.Gonzalez (9-28) and B.Snitker (59-65),Atlanta Braves
21,2,2015,Atlanta Braves,NL East,162,67,95,0,0.414,0.374,4th of 5,23,,573,760,2001392,28.8,26.6,60,37,A.Simmons ,4,F.Gonzalez (67-95),Atlanta Braves
22,3,2014,Atlanta Braves,NL East,162,79,83,0,0.488,0.481,2nd of 5,17,,573,597,2354305,26.8,27.3,39,20,J.Heyward ,6.2,F.Gonzalez (79-83),Atlanta Braves
23,4,2013,Atlanta Braves,NL East,162,96,66,0,0.593,0.603,1st of 5,--,Lost LDS (3-1),688,548,2548679,26.8,27.2,44,21,A.Simmons ,7,F.Gonzalez (96-66),Atlanta Braves
24,5,2012,Atlanta Braves,NL East,162,94,68,0,0.58,0.57,2nd of 5,4,Lost NLWC (1-0),700,600,2420171,28.5,27.6,41,21,M.Bourn ,6.1,F.Gonzalez (94-68),Atlanta Braves
25,6,2011,Atlanta Braves,NL East,162,89,73,0,0.549,0.526,2nd of 5,13,,641,605,2372940,28.9,28.4,45,21,E.O'Flaherty ,3.4,F.Gonzalez (89-73),Atlanta Braves
26,7,2010,Atlanta Braves,NL East,162,91,71,0,0.562,0.573,2nd of 5,6,Lost LDS (3-1),738,629,2510119,28.6,30.1,43,21,J.Heyward ,6.4,B.Cox (91-71),Atlanta Braves
27,8,2009,Atlanta Braves,NL East,162,86,76,0,0.531,0.562,3rd of 5,7,,735,641,2373631,28.8,28.9,45,21,J.Jurrjens ,6.8,B.Cox (86-76),Atlanta Braves
28,9,2008,Atlanta Braves,NL East,162,72,90,0,0.444,0.485,4th of 5,20,,753,778,2532834,27.2,28.6,49,28,C.Jones ,7.3,B.Cox (72-90),Atlanta Braves
