Seating capacity,Team,Opened
45477,Los Angeles Angels,1966
41915,San Francisco Giants,2000
45529,St. Louis Cardinals,2006
48686,Arizona Diamondbacks,1998
41922,New York Mets,2009
43651,Philadelphia Phillies,2004
41299,Detroit Tigers,2000
46897,Colorado Rockies,1995
56000,Los Angeles Dodgers,1962
37755,Boston Red Sox,1912
48114,Texas Rangers,1994
42319,Cincinnati Reds,2003
40615,Chicago White Sox,1991
37903,Kansas City Royals,1973
36742,Miami Marlins,2012
41900,Milwaukee Brewers,2001
41168,Houston Astros,2000
41339,Washington Nationals,2008
47170,Oakland Athletics,1966
45971,Baltimore Orioles,1992
40209,San Diego Padres,2004
38362,Pittsburgh Pirates,2001
35041,Cleveland Indians,1994
49282,Toronto Blue Jays,1989
47715,Seattle Mariners,1999
41084,Atlanta Braves,2017
38649,Minnesota Twins,2010
31042,Tampa Bay Rays,1990
41649,Chicago Cubs,1914
47309,New York Yankees,2009
